plant_name,plant_code,energy_type,energy_generated_mw
"Enterprise Solar, LLC",59386,renewable_energy,227590
"Escalante Solar I, LLC",59387,renewable_energy,215238
"Escalante Solar II, LLC",59388,renewable_energy,209687
"Escalante Solar III, LLC",59389,renewable_energy,211610
Essex Junction 19,3737,renewable_energy,35462
Essex Solar Center,61406,renewable_energy,37285
Estill Solar,61490,renewable_energy,38725
Exelon Solar Chicago,57191,renewable_energy,13517
FECC Solar Benton,61839,renewable_energy,1451
"FL Solar 4, LLC",63187,renewable_energy,73517
FPL Energy Crystal Lake Wind II LLC,56925,renewable_energy,803712
FPL Energy Crystal Lake Wind LLC,56923,renewable_energy,638617
FPL Energy Illinois Wind LLC Hybrid,57325,renewable_energy,737170
FPL Energy Story Wind LLC,56924,renewable_energy,637359
Fair Wind,59147,renewable_energy,87844
Fairbanks Wind Park,62815,renewable_energy,214542
Farmington Solar,64337,renewable_energy,133876
Fenton Wind Farm,56617,renewable_energy,396213
Fern Solar LLC,62798,renewable_energy,225533
Fighting Jays Solar Project,62945,renewable_energy,250292
Fish Springs,64148,renewable_energy,223573
Flat Ridge 2 Wind Energy LLC,57787,renewable_energy,1704077
Flat Ridge 3,64407,renewable_energy,525421
Flat Top Wind I,61212,renewable_energy,792301
Flatiron,518,renewable_energy,150111
Fleish,6513,renewable_energy,17670
Fluvanna,59245,renewable_energy,595289
Foard City Wind,61402,renewable_energy,1099930
Folsom,441,renewable_energy,415626
Ford County Wind Farm LLC,65350,renewable_energy,375852
Ford World Headquarters,60018,renewable_energy,793
Fort Benning Solar Facility,59862,renewable_energy,52960
Fort Drum Energy Center,64300,renewable_energy,138411
Fort Green Solar Power Plant,64533,renewable_energy,79139
Fort Powhatan Solar,65322,renewable_energy,321831
Forward Wind Energy Center,56942,renewable_energy,149653
Foundation Superior Farms,58104,renewable_energy,1221
Foundation Wal-Mart Red Bluff,58105,renewable_energy,1814
Founders Homestead Farms Solar,62302,renewable_energy,6680
Fourmile Ridge,58904,renewable_energy,122930
Fowler Ridge IV Wind Farm LLC,59547,renewable_energy,461700
Fowler Ridge Wind Farm LLC,56777,renewable_energy,1274958
Fox Creek Solar,60624,renewable_energy,92827
"Foxtail Wind, LLC",61747,renewable_energy,556669
Framingham State University Plant,59717,renewable_energy,108
Freeborn Wind Farm,64623,renewable_energy,789295
French Paper Hydro,10656,renewable_energy,4320
Fries Hydroelectric Project,10798,renewable_energy,17357
Frontier Windpower,60218,renewable_energy,574628
Frontier Windpower II,62837,renewable_energy,774731
Fusion Solar Center LLC,58876,renewable_energy,41175
G.S.E. One LLC,62505,renewable_energy,193819
GMP Solar - Hartford,60874,renewable_energy,7878
GMP Solar - Panton Hybrid,60562,renewable_energy,8829
GMP Solar - Richmond,60547,renewable_energy,2917
GMP Solar - Williamstown,60877,renewable_energy,7493
GMP Solar - Williston,60875,renewable_energy,7174
GMP Solar/Storage-Essex Hybrid,62383,renewable_energy,7353
GMP Solar/Storage-Ferrisburgh Hybrid,62382,renewable_energy,8910
GMP Solar/Storage-Milton Hybrid,62381,renewable_energy,7911
Galloway 1 Solar Farm,61920,renewable_energy,558524
Garden Wind LLC,57469,renewable_energy,465273
Garland Canal Power Plant,57551,renewable_energy,10003
Gaston,2756,renewable_energy,228399
Gaston Solar Power Plant,62669,renewable_energy,51510
General Electric Aircraft Engines,10029,renewable_energy,2441
Geneseo,944,renewable_energy,9094
Genesis Solar Energy Project,57394,renewable_energy,613707
Georgia Mountain Community Wind Farm,58238,renewable_energy,30714
Georgia-Pacific Big Island,50479,renewable_energy,344
Georgia-Pacific Corp - Nekoosa Mill,50395,renewable_energy,22651
Geothermal 1,7368,renewable_energy,487956
Geothermal 2,7369,renewable_energy,275929
Geysers Unit 5-20,286,renewable_energy,4668219
Ghost Orchid Solar Energy Center,65038,renewable_energy,149339
Glacier Hills,57199,renewable_energy,408498
"Glacier Sands Wind Power, LLC",64381,renewable_energy,663571
Glaciers Edge Wind Project,62035,renewable_energy,984075
Glass Sands Wind Facility,64750,renewable_energy,472270
Glen Canyon Dam,153,renewable_energy,2536855
Glen Ullin Energy Center,62938,renewable_energy,451429
Golden Acorn Casino,59328,renewable_energy,4454
"Golden Field Solar III, LLC",63859,renewable_energy,585044
"Golden Fields Solar I, LLC",60590,renewable_energy,153951
Golden Hill Wind,63710,renewable_energy,409586
Golden Hills North Wind Energy Center,61222,renewable_energy,147013
Golden Plains,62081,renewable_energy,885500
Golden West Power Partners LLC,59974,renewable_energy,844516
Goodwell Wind Project LLC,58998,renewable_energy,820873
Gopher Creek Wind Farm,61417,renewable_energy,600369
Gorge,6431,renewable_energy,988670
"Grady Wind Energy Center, LLC",60317,renewable_energy,806775
Granby Hydro,60119,renewable_energy,5299
Grand Coulee,6163,renewable_energy,21176202
Grand Ridge Solar Farm,57912,renewable_energy,28092
Grand Valley Solar Gardens,60118,renewable_energy,3892
Grand View Solar Two,60068,renewable_energy,176229
Grande Prairie Wind Farm,58695,renewable_energy,1515545
"Grandview Wind Farm, LLC",58596,renewable_energy,908228
Grange Hall Solar,61656,renewable_energy,112045
"Granite Mountain Solar East, LLC",59946,renewable_energy,203530
"Granite Mountain Solar West, LLC",59945,renewable_energy,110658
Granite Reliable Power,58004,renewable_energy,206382
Graniteville Enterprise Division,54462,renewable_energy,1057
"Grant Plains Wind, LLC",60545,renewable_energy,564473
Graphite Solar I,64186,renewable_energy,108427
Grasshopper Solar,62813,renewable_energy,165033
Gratiot Farms Wind Project,63687,renewable_energy,421366
Gratiot Wind Park,57421,renewable_energy,251167
Gray Hawk Solar,61272,renewable_energy,134836
Grazing Yak Solar,62376,renewable_energy,86060
Greasewood Solar,62804,renewable_energy,401429
Great Bay Solar 1,59851,renewable_energy,140293
"Great Divide Solar, LLC",61335,renewable_energy,5987
Great Falls Hydro Project,52068,renewable_energy,5226
Great Prairie Wind,64665,renewable_energy,967988
"Great Valley Solar Portfolio Holdings, LLC",59940,renewable_energy,539808
"Great Western Wind Energy, LLC",60574,renewable_energy,955696
"Green Meadow Solar, LLC",61291,renewable_energy,5539
Green River Wind Farm,60471,renewable_energy,613932
"Greensville County Solar Project, LLC",63745,renewable_energy,141212
Greenwood (MO),6074,renewable_energy,4110
Greenwood Solar Farm,60019,renewable_energy,2261
Griffin Trail Wind,62411,renewable_energy,863154
Groton Wind LLC,58141,renewable_energy,111247
Grove,65042,renewable_energy,158331
"Grove Solar Center, LLC",60330,renewable_energy,12980
Gulf Coast Solar Center I,59689,renewable_energy,56177
Gulf Coast Solar Center II,59690,renewable_energy,65363
Gulf Coast Solar Center III,59691,renewable_energy,87760
Gulf Power Blue Indigo Energy,63754,renewable_energy,158095
Aurora,55279,fossil_fuel,339135
Gutenberg Solar,63076,renewable_energy,160077
Haas,240,renewable_energy,171261
Hale Community Wind Farm,59247,renewable_energy,2036783
Hamilton Solar Power Plant,61807,renewable_energy,172670
Hammock Solar,61024,renewable_energy,155227
Hampton Solar 2,61498,renewable_energy,41662
Hancock County Wind Energy Center,56010,renewable_energy,312194
Hancock Wind Plant,58686,renewable_energy,125525
Happy Jack Windpower Project,56960,renewable_energy,71291
Hardin Solar Energy LLC,63029,renewable_energy,310341
Harmony Solar,65996,renewable_energy,180643
Harmony Solar,63582,renewable_energy,180643
Harpster Wind,60126,renewable_energy,3641
Harry Allen Solar Energy LLC,63080,renewable_energy,296001
Harry Truman,6141,renewable_energy,241534
"Harts Mill Solar, LLC",64144,renewable_energy,182591
Harvest Ridge  Wind Farm,61161,renewable_energy,765455
"Hatch Solar Energy Center I, LLC",57591,renewable_energy,12154
Hattiesburg Solar Farm,60552,renewable_energy,96849
Hawtree Solar,62951,renewable_energy,140175
"Haystack Wind Project, LLC",64139,renewable_energy,752911
Haywood Solar,61733,renewable_energy,6213
Hazlehurst II,60554,renewable_energy,112690
Hazlehurst III,62057,renewable_energy,94130
Headwaters Wind Farm II LLC,62592,renewable_energy,615065
Heart of Texas Wind Project,61032,renewable_energy,643615
Heartland Divide II,64661,renewable_energy,579909
"Heartland Divide Wind Project, LLC",61609,renewable_energy,464670
Hecate Energy Beacon Solar 1,59315,renewable_energy,141600
Hecate Energy Beacon Solar 3,59316,renewable_energy,140967
Hecate Energy Beacon Solar 4,59317,renewable_energy,125631
Helena Wind,63738,renewable_energy,385948
Henkel U.S. Operations Corporation,57648,renewable_energy,1622
Hibiscus Solar Energy Center,62206,renewable_energy,137982
Hickory Park Solar Hybrid,63522,renewable_energy,228125
Hidalgo Wind Farm II,62618,renewable_energy,135102
Hidalgo Wind Farm LLC,57617,renewable_energy,710994
"High Lonesome Wind Power, LLC Hybrid",62562,renewable_energy,1206481
High Mesa,58019,renewable_energy,82003
High Prairie Wind Farm,62563,renewable_energy,937051
High Shoals Hydro (NC),10550,renewable_energy,2773
High Trail Wind Farm LLC,56338,renewable_energy,604274
"Highest Power Solar, LLC",63812,renewable_energy,101815
Highland Wind Project (IA),58883,renewable_energy,1872717
Highlander Solar Energy Station 1,62014,renewable_energy,244946
Hillcrest Solar,62200,renewable_energy,406880
Hilltopper Wind Project,61735,renewable_energy,621359
Hinton,61615,renewable_energy,5007
Hiwassee Dam,2780,renewable_energy,309758
Hog Creek Wind Project,61330,renewable_energy,215169
Holdrege Solar Center,59713,renewable_energy,7209
Holliday Creek Solar,64738,renewable_energy,82062
Holstein 1 Solar Farm,61962,renewable_energy,450659
Hoover Dam (AZ),8902,renewable_energy,1537746
Hoover Dam (NV),154,renewable_energy,1628822
Hopkins Ridge Wind,56255,renewable_energy,348577
Horizon Solar Energy Center,61021,renewable_energy,148251
Horse Hollow Wind Energy Center,56291,renewable_energy,2336220
Horse Mesa,145,renewable_energy,77744
Horseshoe Bend Wind LLC,57550,renewable_energy,497211
Howell Solar,60728,renewable_energy,10451
Hubbard Wind,65048,renewable_energy,1127468
Hudson - High Desert Hybrid,64624,renewable_energy,288031
"Humacao Solar Project, LLC",61133,renewable_energy,66400
Hunter Solar LLC (UT),62656,renewable_energy,272812
Huntley,63271,renewable_energy,164090
"Hyline Solar Center, LLC",60331,renewable_energy,19540
IKEA Round Rock 027,58013,renewable_energy,1870
IKEA St. Louis 410,59714,renewable_energy,337
IKEA Tampa 042,58012,renewable_energy,1578
